"County","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"FLORENCE",136294.0701061,137540.9891614706,138799.31595548635,140069.15485458574,141350.6111800288,142643.79121663238,143948.80222158562,145265.7524333457,146594.75108061545,147935.9083914026,149289.3356021624,150655.14496702357,152033.44976709865,153424.36431987965,154828.00398871966,156244.4851924011,157673.92541479168,159116.4432145884,160572.15823515103,162041.19121442543,163523.66399495752,165019.69953399897,166529.42191370556,168052.95635142838,169590.42921009965,171141.9680087131,172707.70143290074,174287.75934560594,175882.27279785453,177491.37403962397,179115.1965308126,180753.87495230857,182407.54521716057,184076.34448185048,185760.41115766927,187459.88492219668,189174.90673088658,190905.61882875755,192652.16476219098,194414.68939083678,196193.33889962817,197988.26081090645,199799.60399665637,201627.51869085393,203472.15650192677,205333.67042532857,207212.21485622876,209107.94560231807,211021.01989673128,212951.5964110884
"GEORGETOWN",63748.464738,64331.68288806739,64920.23674954314,65514.17513746538,66113.54731346834,66718.40298986818,67328.79233378607,67944.76597130923,68566.37499168972,69193.67095158195,69826.70587931878,70465.53227922674,71110.20313598082,71760.77191899909,72417.29258687736,73079.81959186468,73748.40788437959,74423.1129175677,75103.99065190107,75791.0975598196,76484.49063041485,77184.2273741568,77890.3658276638,78602.9645585161,79322.08267011361,80047.77980657782,80780.11615769884,81519.15246392753,82264.95002141339,83017.5706870884,83777.07688379766,84543.53160547659,85316.99842237575,86097.54148633349,86885.22553609662,87680.11590268994,88482.27851483483,89291.77990441743,90108.68721200686,90933.06819242382,91764.99122036027,92604.5252960505,93451.74005099405,94306.70575373087,95169.49331566968,96040.17429696914,96918.82091247325,97805.50603770094,98700.3032148902,99603.28665909801
"GREENVILLE",534083.0132007,541048.3346508199,548104.4953557078,555252.6800087432,562494.0887536571,569829.9373860288,577261.4575574143,584789.8969821319,592416.5196467481,600142.6060222947,607969.453279253,615898.3755053418,623930.7039261471,632067.7871286267,640310.9912875321,648661.700394782,657121.316491827,665691.2599050461,674372.9694842112,683167.9028440636,692077.5366090396,701103.3666611884,710246.9083913225,719509.696953445,728893.2875224934,738399.2555554458,748029.1970558321,757784.728841695,767667.4888170451,777679.136246857,787821.3520356511,798095.8390097092,808504.3222029703,819048.5491466544,829730.2901626655,840551.338660818,851513.5114399417,862618.6489929135,873868.6158156663,885265.3007202282,896810.6171518448,908506.5035102367,920354.9234750469,932357.8663355327,944517.3473245571,956835.4079569363,969314.1163721993,981955.5676818182,994761.8843209668,1007735.2164048663
"GREENWOOD",69238.8644828,69872.31287441835,70511.55652088152,71156.64844147122,71807.64214052875,72464.59161189283,73127.5513433777,73796.5763212925,74471.72203500182,75153.04448152806,75840.60017019584,76534.4461273189,77234.63990092986,77941.2395655535,78654.30372702316,79373.89152734188,80100.06264958746,80832.87732286268,81572.39632729076,82318.68099905647,83071.79323549342,83831.79550021785,84598.75082830938,85372.72283153924,86153.77570364624,86941.97422566099,87737.38377127898,88540.07031228261,89350.10042401306,90167.54129089192,90992.46071199373,91824.92710666903,92665.0095202193,93512.77762962358,94368.30174931744,95231.65283702497,96102.9024996441,96982.12299918561,97869.3872587667,98764.76886865923,99668.3420923933,100580.18187291682,101500.36383881124,102428.96431056426,103366.06030689995,104311.7295511666,105266.05047778331,106229.10223874528,107200.96471018877,108181.71849901605
"HAMPTON",18257.93200727,18424.969086093777,18593.534343776526,18763.641761229792,18935.305447272858,19108.539639802933,19283.358706976043,19459.777148398756,19637.809596330753,19817.470816898476,19998.77571131982,20181.739317140058,20366.376809479043,20552.70350228988,20740.73484962904,20930.486446938146,21121.974032337475,21315.213487931273,21510.220841125025,21707.012265954807,21905.60408442873,22106.012767880737,22308.25493833671,22512.347369893152,22718.306990108398,22926.15088140663,23135.89628249469,23347.56058979187,23561.16135887279,23776.716305923455,23994.243309210673,24213.76041056485,24435.28581687642,24658.837901605948,24884.435206307997,25112.096442169,25341.840491559185,25573.68640959868,25807.653425737954,26043.760945352733,26282.028551353473,26522.476005809607,26765.1232515886,27009.990414010033,27257.097802514825,27506.465912349675,27758.11542626698,28012.067216240273,28268.342345195346,28526.96206875724
"HORRY",363274.6998726,372688.5670573891,382346.3843311988,392254.4733942151,402419.3197665817,412847.577033615,423546.07120103,434521.8051630263,445781.9632861604,457333.91611200315,469185.2251816625,481343.6479853274,493817.14304007485,506613.87509926193,519742.2204969138,533210.7726306055,547028.3475864273,561203.9899097141,575746.978525317,590666.8328112933,605973.3188299882,621676.4557205891,637786.5222573353,654314.063577677,671269.8980847871,688665.1245289443,706511.1292724217,724819.593742638,743602.5020784482,762872.1489745802,782641.1477293515,802922.4385009327,823729.2967775635,845075.3420672663,866974.5468127426,889441.2455372894,912490.1442277237,936136.3299604526,960395.2807769951,985282.8758154153,1010815.4057043017,1037009.583226095,1063882.5542567435,1091451.90898885,1119735.6934456509,1148752.42129337,1178521.085959677,1209061.1730661795,1240392.6731830938,1272536.0949144345
"JASPER",29421.75285228,29731.469583661863,30044.446639273203,30360.718339875544,30680.31936751802,31003.28476934054,31329.649961417028,31659.45073263913,31992.72324864078,32329.504055764093,32669.830085067002,33013.73865637307,33361.26748236396,33712.45467271496,34067.33873827408,34425.95859528505,34788.35356965493,35154.56340126649,35524.62824833603,35898.588691817145,36276.485739850774,36658.360832262086,37044.25584510478,37434.21309525313,37828.27534504242,38226.48580695825,38628.888148375125,39035.526496345046,39446.445442436365,39861.6900476237,40281.30584722927,40705.33885591625,41133.835572734686,41566.84298622056,42004.408579548486,42446.58033573867,42893.40674291868,43344.93679964064,43801.220020254324,44262.30644033686,44728.246622179606,45199.09166033273,45674.89318720819,46155.70337874175,46641.57496011448,47132.56121153456,47628.71597407994,48130.09365560254,48636.749236694515,49148.73827671736
"KERSHAW",65871.7189384,66474.36218979287,67082.51886780195,67696.23941333563,68315.57472877312,68940.57618218624,69571.2956116,70207.785329292,70850.09812613134,71498.287275957,72152.40653999652,72812.51017132496,73478.65291936466,74150.89003442621,74829.27727229093,75513.87089883532,76204.7276946978,76901.90495998805,77605.46051903961,78315.45272520583,79031.94046569974,79754.98316647815,80484.64079717058,81220.97387605307,81964.04347506771,82713.91122488784,83470.63932002989,84234.29052401175,85004.92817455849,85782.61618885548,86567.41906884991,87359.40190660047,88158.63038967624,88965.17080660479,89779.09005237023,90600.45563396148,91429.3356759714,92265.79892624705,93109.91476159169,93961.75319351895,94821.38487405959,95688.88110162147,96564.31382690309,97447.75565886115,98339.2798707329,99238.9604061134,100146.8718850884,101063.08961042354,101987.68957380981,102920.7484621665
"LANCASTER",98751.7307706,100759.46755261708,102808.02394310488,104898.22985186569,107030.93206172684,109206.99457158895,111427.29894644853,113692.74467453697,116004.24953172072,118362.74995330989,120769.20141342648,123224.57881208521,125729.87687014458,128286.11053228736,130894.31537819434,133555.54804207777,136270.8866407442,139041.43121036058,141868.3041520999,144752.650686848,147695.63931915438,150698.46231061607,153762.33616288597,156888.50211050102,160078.22662373044,163332.80192164727,166653.54649563125,170041.80564351534,173498.95201459163,177026.38616569838,180625.5371286124,184297.8629889777,188044.851477004,191868.02057017517,195768.9191082111,199749.12742053263,203810.25796648368,207953.95598856956,212181.90017897676,216495.80335964318,220897.41317615588,225388.51280575577,229970.92167973737,234646.49622053557,239417.1305937982,244284.75747574912,249251.34883615287,254318.9167371977,259489.51414862074,264765.23577940586
"LAURENS",67736.7171826,68356.42281863745,68981.79798061757,69612.89453756095,70249.76483302441,70892.4616894424,71541.03841250806,72195.54879559454,72856.04712421654,73522.58818053281,74195.22724788992,74874.02011540742,75559.02308260492,76250.29296407186,76947.8870941795,77651.86333183642,78362.2800652873,79079.19621695577,79802.67124833133,80532.76516490128,81269.53852112751,82013.05242546894,82763.36854544994,83520.54911277503,84284.65692849045,85055.75536819291,85833.90838728596,86619.18052628456,87411.6369161681,88211.34328378232,89018.3659572909,89832.77187167655,90654.62857429286,91484.00423046657,92320.9676291513,93165.58818863293,94017.93596228724,94878.08164439013,95746.0965759811,96622.05275078026,97506.02282115958,98398.08010416874,99298.29858761604,100206.75293620501,101123.51849772727,102048.67130931167,102982.28810373109,103924.44631576665,104875.22408863007,105834.70028044515
