"County","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"GREENVILLE",534083.0132007,541186.0263995,548289.0395982,555392.0527989999,562495.0659997,569556.9696074,576618.8732161,583680.7768237999,590742.680432,597804.58404,604688.9486,611573.313156,618457.677716,625342.042276,632226.406834,639007.632387,645788.857936,652570.083486,659539.9111498412,666509.7388136823,673479.5664775234,680449.3941413646,687419.2218052058,694389.049469047,701358.8771328882,708328.7047967294,715298.5324605705,722268.3601244116,729238.1877882528,736208.015452094,743177.8431159352,750147.6707797763,757117.4984436175,764087.3261074587,771057.1537712999,778026.9814351411,784996.8090989823,791966.6367628234,798936.4644266645,805906.2920905057,812876.1197543469,819845.9474181881,826815.7750820292,833785.6027458704,840755.4304097116,847725.2580735527,854695.0857373939,861664.9134012351,868634.7410650763,875604.5687289174
"GREENWOOD",69238.8644828,69097.72896549999,68956.5934481,68815.4579311,68674.3224138,68503.3624654,68332.4025176,68161.4425699,67990.4826218,67819.5226735,67592.3121112,67365.1015485,67137.8909858,66910.6804235,66683.4698608,66409.4170952,66135.36432950001,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635,65861.3115635
"HAMPTON",18257.93200727,18003.86401491,17749.796022079998,17495.72802955,17241.66003667,16997.28048125,16752.90092523,16508.52136968,16264.14181368,16019.76225797,15777.09751222,15534.43276649,15291.76802082,15049.10327501,14806.43852933,14572.24260628,14338.04668318,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009,14103.85076009
"HORRY",363274.6998726,373051.3997473,382828.0996197,392604.7994906,402381.4993645,412830.4120985,423279.3248274,433728.2375613,444177.1502943,454626.0630272,465296.722962,475967.38289999997,486638.042833,497308.702771,507979.362706,518550.925485,529122.488263,539694.051043,550071.6599353764,560449.2688277529,570826.8777201293,581204.4866125059,591582.0955048823,601959.7043972588,612337.3132896352,622714.9221820117,633092.5310743882,643470.1399667646,653847.7488591411,664225.3577515176,674602.9666438941,684980.5755362705,695358.1844286469,705735.7933210235,716113.4022134,726491.0111057764,736868.6199981528,747246.2288905294,757623.8377829058,768001.4466752822,778379.0555676587,788756.6644600353,799134.2733524117,809511.8822447881,819889.4911371646,830267.1000295411,840644.7089219175,851022.317814294,861399.9267066706,871777.535599047
"JASPER",29421.75285228,29770.50570416,30119.25855654,30468.01140852,30816.764260609998,31168.80210635,31520.83995237,31872.87779818,32224.91564379,32576.95348969,32870.82234908,33164.69120838,33458.5600678,33752.4289273,34046.2977866,34228.4886208,34410.6794556,34592.8702901,34897.05366879529,35201.23704749059,35505.42042618588,35809.603804881175,36113.78718357647,36417.97056227177,36722.15394096706,37026.33731966235,37330.52069835765,37634.70407705294,37938.887455748234,38243.07083444353,38547.254213138825,38851.43759183412,39155.62097052942,39459.80434922471,39763.98772792,40068.17110661529,40372.35448531059,40676.537864005884,40980.72124270118,41284.904621396476,41589.08800009177,41893.27137878706,42197.45475748235,42501.63813617765,42805.82151487294,43110.004893568235,43414.188272263535,43718.37165095883,44022.55502965412,44326.73840834941
"KERSHAW",65871.7189384,66207.4378772,66543.1568158,66878.8757545,67214.5946927,67499.5477788,67784.5008646,68069.4539504,68354.407036,68639.3601219,68854.9943375,69070.6285529,69286.2627681,69501.8969838,69717.5311993,69912.9990434,70108.466888,70303.9347322,70564.65330830587,70825.37188441175,71086.09046051765,71346.80903662353,71607.5276127294,71868.24618883528,72128.96476494118,72389.68334104706,72650.40191715294,72911.12049325882,73171.83906936471,73432.55764547059,73693.27622157647,73953.99479768235,74214.713373788225,74475.43194989412,74736.150526,74996.86910210588,75257.58767821176,75518.30625431765,75779.02483042353,76039.74340652941,76300.46198263529,76561.18055874118,76821.89913484706,77082.61771095294,77343.33628705882,77604.05486316471,77864.77343927059,78125.49201537647,78386.21059148235,78646.92916758824
"LANCASTER",98751.7307706,100851.4615411,102951.1923118,105050.9230823,107150.6538529,109270.4699877,111390.286122,113510.1022569,115629.9183913,117749.7345259,119858.6218427,121967.5091593,124076.3964759,126185.2837925,128294.1711093,130469.837987,132645.5048648,134821.1717427,136942.90356458825,139064.6353864765,141186.3672083647,143308.09903025295,145429.8308521412,147551.56267402944,149673.29449591765,151795.0263178059,153916.75813969414,156038.48996158238,158160.2217834706,160281.95360535884,162403.68542724708,164525.41724913532,166647.14907102357,168768.88089291178,170890.61271480002,173012.34453668827,175134.07635857648,177255.80818046472,179377.54000235297,181499.2718242412,183621.00364612945,185742.7354680177,187864.4672899059,189986.19911179415,192107.9309336824,194229.6627555706,196351.39457745885,198473.1263993471,200594.85822123534,202716.59004312358
"LAURENS",67736.7171826,67922.4343655,68108.1515482,68293.868731,68479.5859139,68615.8783841,68752.1708543,68888.4633246,69024.7557948,69161.0482651,69238.9202077,69316.7921503,69394.6640929,69472.5360355,69550.407978,69573.1828119,69595.9576458,69618.7324798,69729.43926198824,69840.14604417648,69950.85282636472,70061.55960855295,70172.26639074118,70282.97317292941,70393.67995511765,70504.38673730589,70615.09351949413,70725.80030168236,70836.5070838706,70947.21386605884,71057.92064824706,71168.6274304353,71279.33421262354,71390.04099481177,71500.74777700001,71611.45455918825,71722.16134137649,71832.86812356472,71943.57490575296,72054.28168794118,72164.98847012942,72275.69525231766,72386.4020345059,72497.10881669413,72607.81559888237,72718.52238107061,72829.22916325885,72939.93594544707,73050.6427276353,73161.34950982354
"LEE",16196.69451773,15935.38903524,15674.08355287,15412.7780705,15151.47258826,14896.94517074,14642.41775343,14387.890336,14133.36291864,13878.83550128,13624.01526538,13369.19502944,13114.37479353,12859.554557630001,12604.73432171,12358.63990024,12112.54547874,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725,11866.45105725
"LEXINGTON",297223.3109765,299555.621956,301887.9329324,304220.2439125,306552.5548907,308533.0862708,310513.617651,312494.1490341,314474.6804163,316455.2117955,318078.9541349,319702.6964773,321326.4388177,322950.1811581,324573.9234985,325962.7686976,327351.6138978,328740.4590949,330594.4089842176,332448.3588735353,334302.3087628529,336156.2586521706,338010.2085414882,339864.1584308059,341718.1083201235,343572.0582094412,345426.0080987588,347279.9579880765,349133.9078773941,350987.8577667118,352841.8076560294,354695.7575453471,356549.7074346647,358403.65732398233,360257.6072133,362111.5571026177,363965.5069919353,365819.45688125293,367673.4067705706,369527.35665988823,371381.3065492059,373235.25643852353,375089.2063278412,376943.15621715883,378797.1061064765,380651.05599579413,382505.0058851118,384358.9557744294,386212.9056637471,388066.8555530647
"MCCORMICK",9469.73989683,9426.47979358,9383.2196903,9339.95958702,9296.69948387,9222.72975921,9148.7600347,9074.79031004,9000.820585380001,8926.85086098,8824.7800194,8722.70917786,8620.638336279999,8518.56749483,8416.49665328,8297.49892581,8178.501198399999,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089,8059.50347089
"MARION",28521.12736543,27999.25473086,27477.38209629,26955.50946172,26433.63682724,25916.88631078,25400.13579493,24883.38527887,24366.63476272,23849.88424675,23350.0084665,22850.13268593,22350.25690586,21850.38112549,21350.50534512,20876.97914652,20403.45294794,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916,19929.92674916
"MARLBORO",26327.51698513,26118.03397007,25908.55095505,25699.06794004,25489.584925119998,25260.236061210002,25030.8871972,24801.53833319,24572.18946968,24342.84060577,24102.2843496,23861.72809352,23621.17183745,23380.615581179998,23140.05932511,22900.967668319998,22661.87601123,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435,22422.78435435
"NEWBERRY",37672.70291279,37630.40582529,37588.10873788,37545.81165088,37503.51456357,37424.81579492,37346.11702636,37267.41825811,37188.71948956,37110.0207212,36990.20306656,36870.38541163,36750.56775689,36630.750102,36510.9324469,36366.6270042,36222.3215615,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188,36078.0161188
